seed,n,p,s_star,epsilon,delta,grad_sd,sensitivity_l2,ratio_prediction,method,l2_error,support
8501,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Thresholded Central-DP Lasso (ours),0.6650370994814526,5
8501,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Cai et al. DP-IHT,0.9129269437791555,5
8501,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Non-private,0.0645102773901427,5
8501,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Zero estimator,0.9999999544965793,0
8501,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Thresholded Central-DP Lasso (ours),0.5651340549354753,10
8501,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Cai et al. DP-IHT,0.8612492944444116,10
8501,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Non-private,0.10225349168896684,7
8501,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Zero estimator,1.0000000256256774,0
8501,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Thresholded Central-DP Lasso (ours),0.7166030998633,20
8501,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Cai et al. DP-IHT,1.3761786310749813,20
8501,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Non-private,0.11423200090158935,7
8501,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Zero estimator,1.0000000131924012,0
8501,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Thresholded Central-DP Lasso (ours),0.8682004176317201,40
8501,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Cai et al. DP-IHT,1.2570355764571184,40
8501,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Non-private,0.1161825495565212,8
8501,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Zero estimator,0.9999999938090876,0
8501,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.23821500788881833,5
8501,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Cai et al. DP-IHT,0.25981380683689126,5
8501,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Non-private,0.04321329763515425,5
8501,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8501,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.3737269948858517,10
8501,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Cai et al. DP-IHT,0.8641888703944217,10
8501,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Non-private,0.06802641237979284,10
8501,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8501,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.464911750393961,20
8501,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Cai et al. DP-IHT,0.963574885711664,20
8501,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Non-private,0.09216567809672313,10
8501,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Zero estimator,0.9999998858677142,0
8501,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.45393733357771004,40
8501,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Cai et al. DP-IHT,1.2667676858080223,40
8501,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Non-private,0.09148989875172654,10
8501,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Zero estimator,0.9999999938090877,0
8501,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.15837399538597804,5
8501,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Cai et al. DP-IHT,0.25497969833481227,5
8501,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Non-private,0.02746138275298556,5
8501,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8501,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.2229532971427867,10
8501,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Cai et al. DP-IHT,0.40454935227704825,10
8501,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Non-private,0.05084990538521169,10
8501,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8501,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.28802175934230523,20
8501,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Cai et al. DP-IHT,0.7826602011591303,20
8501,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Non-private,0.069744721825718,12
8501,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Zero estimator,1.0000000131924012,0
8501,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.2512738364674622,40
8501,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Cai et al. DP-IHT,0.9180441983494609,40
8501,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Non-private,0.07460496422726837,13
8501,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Zero estimator,0.9999999938090877,0
8502,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Thresholded Central-DP Lasso (ours),0.378352956298989,5
8502,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Cai et al. DP-IHT,0.6028265531740473,5
8502,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Non-private,0.06050884788068344,5
8502,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Zero estimator,0.9999999544965793,0
8502,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Thresholded Central-DP Lasso (ours),0.6708962252854017,10
8502,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Cai et al. DP-IHT,0.7967129248970442,10
8502,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Non-private,0.0954428201839634,8
8502,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Zero estimator,1.0000000256256774,0
8502,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Thresholded Central-DP Lasso (ours),0.7313436341183908,20
8502,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Cai et al. DP-IHT,1.0618393263998227,20
8502,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Non-private,0.11087766506480444,8
8502,100000,100,20,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,2.0,Zero estimator,1.0000000131924014,0
8502,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Thresholded Central-DP Lasso (ours),0.9883435100621996,40
8502,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Cai et al. DP-IHT,1.2998753010481279,40
8502,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Non-private,0.11201765706647,9
8502,100000,100,40,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,4.0,Zero estimator,0.9999999938090876,0
8502,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.3377344614960042,5
8502,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Cai et al. DP-IHT,0.44120202705528494,5
8502,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Non-private,0.04345402831406483,5
8502,200000,100,5,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8502,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.4198498265180446,10
8502,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Cai et al. DP-IHT,0.4482313775691867,10
8502,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Non-private,0.06792570111953708,10
8502,200000,100,10,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8502,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.4326191128920095,20
8502,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Cai et al. DP-IHT,1.0400768341611653,20
8502,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Non-private,0.08773443934925632,10
8502,200000,100,20,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,2.0,Zero estimator,1.0000000131924014,0
8502,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.5696494121003502,40
8502,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Cai et al. DP-IHT,1.3088890860495876,40
8502,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Non-private,0.09197600096929776,10
8502,200000,100,40,0.95,1.4752546926684579e-05,0.014152786679307191,9.199999999999999e-05,4.0,Zero estimator,0.9999999938090877,0
8502,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Thresholded Central-DP Lasso (ours),0.13302643060421637,5
8502,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Cai et al. DP-IHT,0.08913080872926825,5
8502,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Non-private,0.026601627700844913,5
8502,400000,100,5,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,0.5,Zero estimator,0.9999999544965793,0
8502,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Thresholded Central-DP Lasso (ours),0.17636561862432973,10
8502,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Cai et al. DP-IHT,0.4723156554676855,10
8502,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Non-private,0.0504237923649584,10
8502,400000,100,10,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,1.0,Zero estimator,1.0000000256256774,0
8502,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Thresholded Central-DP Lasso (ours),0.25768871283116723,20
8502,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Cai et al. DP-IHT,0.6398086435449263,20
8502,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Non-private,0.07020510106506359,14
8502,400000,100,20,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,2.0,Zero estimator,1.0000000131924012,0
8502,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Thresholded Central-DP Lasso (ours),0.21678015985010665,40
8502,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Cai et al. DP-IHT,1.2934192769629922,40
8502,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Non-private,0.074360633612016,13
8502,400000,100,40,0.95,6.8823064958958226e-06,0.0074956497900820354,4.599999999999999e-05,4.0,Zero estimator,0.9999999938090876,0
8503,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Thresholded Central-DP Lasso (ours),0.644383411657051,5
8503,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Cai et al. DP-IHT,0.5835273163858664,5
8503,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Non-private,0.061464377127241704,5
8503,100000,100,5,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,0.5,Zero estimator,0.9999999544965793,0
8503,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Thresholded Central-DP Lasso (ours),0.5475202717600077,10
8503,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Cai et al. DP-IHT,0.890337733750265,10
8503,100000,100,10,0.95,3.162277660168376e-05,0.0266277613813966,0.00018399999999999997,1.0,Non-private,0.09439052509971489,7
