seed,n,p,delta,smoothness,sensitivity,test_size,epsilon,method,level,multiplier,grad_sd,nmse,support
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,,"Non-private, same procedure",5.0,0.1,0.0,0.9092270523978804,5
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,,"Non-private, same procedure",20.0,0.1,0.0,0.8581816518336912,20
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,,"Non-private, same procedure",50.0,0.1,0.0,0.8466164349644985,50
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,,"Non-private, same procedure",100.0,0.1,0.0,0.8462091748814292,63
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,,Non-private proximal,,,,0.9072986055047052,6
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,,Constant predictor,,,,1.0430232157075279,0
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Thresholded Central-DP Lasso (ours),5.0,0.1,0.02023399877137123,0.9146299731278668,5
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Cai et al. DP-IHT,5.0,,0.02023399877137123,0.9450624987184223,5
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Thresholded Central-DP Lasso (ours),20.0,0.1,0.02023399877137123,0.8873589391901776,20
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Cai et al. DP-IHT,20.0,,0.02023399877137123,0.9822109148103911,20
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Thresholded Central-DP Lasso (ours),50.0,0.1,0.02023399877137123,0.8865323345396003,50
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Cai et al. DP-IHT,50.0,,0.02023399877137123,1.0341978012023108,50
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Thresholded Central-DP Lasso (ours),100.0,0.1,0.02023399877137123,0.8855522525234056,99
8701,25000,105,0.00014530012585117148,0.3284854873775319,0.00016,20000,0.95,Cai et al. DP-IHT,100.0,,0.02023399877137123,1.0602597642319482,100
8701,50000,105,6.778490554679657e-05,0.3279588402142326,8e-05,20000,,"Non-private, same procedure",5.0,0.1,0.0,0.9093812051806456,5
8701,50000,105,6.778490554679657e-05,0.3279588402142326,8e-05,20000,,"Non-private, same procedure",20.0,0.1,0.0,0.8580805696415446,20
8701,50000,105,6.778490554679657e-05,0.3279588402142326,8e-05,20000,,"Non-private, same procedure",50.0,0.1,0.0,0.8460407653296699,50
8701,50000,105,6.778490554679657e-05,0.3279588402142326,8e-05,20000,,"Non-private, same procedure",100.0,0.1,0.0,0.8451562543116745,71
8701,50000,105,6.778490554679657e-05,0.3279588402142326,8e-05,20000,,Non-private proximal,,,,0.8826496159228574,9
