seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9401,c,1,One-shot corrected LDP,0.3219774076292687,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,1,Optimization only,0.002930333482127449,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,2,One-shot corrected LDP,0.158729270799488,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,2,Optimization only,0.0002341357422456231,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,4,One-shot corrected LDP,0.1250704616435848,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,4,Optimization only,0.00023669773124269328,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,8,One-shot corrected LDP,0.1237263986209449,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,8,Optimization only,0.00023669775380958104,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,16,One-shot corrected LDP,0.12372527776795204,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,16,Optimization only,0.00023669775380958104,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,32,One-shot corrected LDP,0.1237252777671745,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,c,32,Optimization only,0.00023669775380958104,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9401,b,1,Central DP,0.5347755625454359,l2_error,0.8,5.3843464363939065e-06,
9401,b,1,Optimization only,0.4180195942807316,l2_error,0.8,5.3843464363939065e-06,
9401,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9401,b,2,Central DP,0.508003976703329,l2_error,0.8,5.3843464363939065e-06,
9401,b,2,Optimization only,0.1805877913647628,l2_error,0.8,5.3843464363939065e-06,
9401,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9401,b,4,Central DP,0.6134133848585609,l2_error,0.8,5.3843464363939065e-06,
9401,b,4,Optimization only,0.0353243028664292,l2_error,0.8,5.3843464363939065e-06,
9401,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9401,b,8,Central DP,0.9198779592209524,l2_error,0.8,5.3843464363939065e-06,
9401,b,8,Optimization only,0.006067781421652378,l2_error,0.8,5.3843464363939065e-06,
9401,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9401,b,16,Central DP,1.149446716383152,l2_error,0.8,5.3843464363939065e-06,
9401,b,16,Optimization only,0.005769083819171648,l2_error,0.8,5.3843464363939065e-06,
9401,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9401,b,32,Central DP,1.209839347676831,l2_error,0.8,5.3843464363939065e-06,
9401,b,32,Optimization only,0.005768878707486865,l2_error,0.8,5.3843464363939065e-06,
9401,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9402,c,1,One-shot corrected LDP,0.2555277089665651,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,1,Optimization only,0.003732471308201817,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,2,One-shot corrected LDP,0.23687355348837535,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,2,Optimization only,0.00028516821840225416,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9402,c,4,One-shot corrected LDP,0.27359721364399353,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
