seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9407,c,1,One-shot corrected LDP,0.30319356204859693,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,1,Optimization only,0.0022390419893362113,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,2,One-shot corrected LDP,0.2646084845977264,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,2,Optimization only,9.342706813795934e-05,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,4,One-shot corrected LDP,0.25211250302855437,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,4,Optimization only,9.402431714478997e-05,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,8,One-shot corrected LDP,0.25164620374874763,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,8,Optimization only,9.402431458361605e-05,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,16,One-shot corrected LDP,0.25164560126180435,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,16,Optimization only,9.402431458361605e-05,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,32,One-shot corrected LDP,0.2516456012608013,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,c,32,Optimization only,9.402431458361605e-05,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9407,b,1,Central DP,0.5030950902683058,l2_error,0.8,5.3843464363939065e-06,
9407,b,1,Optimization only,0.41842029301313727,l2_error,0.8,5.3843464363939065e-06,
9407,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9407,b,2,Central DP,0.4598361846030334,l2_error,0.8,5.3843464363939065e-06,
9407,b,2,Optimization only,0.17932800878263613,l2_error,0.8,5.3843464363939065e-06,
9407,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9407,b,4,Central DP,0.7710444765189958,l2_error,0.8,5.3843464363939065e-06,
9407,b,4,Optimization only,0.032240004670028445,l2_error,0.8,5.3843464363939065e-06,
9407,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9407,b,8,Central DP,0.7350032074007985,l2_error,0.8,5.3843464363939065e-06,
9407,b,8,Optimization only,0.00576008021205599,l2_error,0.8,5.3843464363939065e-06,
9407,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9407,b,16,Central DP,1.21191530224949,l2_error,0.8,5.3843464363939065e-06,
9407,b,16,Optimization only,0.005831864285951204,l2_error,0.8,5.3843464363939065e-06,
9407,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9407,b,32,Central DP,1.2878979475835757,l2_error,0.8,5.3843464363939065e-06,
9407,b,32,Optimization only,0.005831864149376734,l2_error,0.8,5.3843464363939065e-06,
9407,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9408,c,1,One-shot corrected LDP,0.2685740102341024,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,1,Optimization only,0.002553782020930216,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,2,One-shot corrected LDP,0.21704157826871737,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,2,Optimization only,0.00023891494660467579,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,4,One-shot corrected LDP,0.20787969898296113,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,4,Optimization only,0.000233123423842089,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,8,One-shot corrected LDP,0.20767308300020754,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,8,Optimization only,0.00023312340608247218,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,16,One-shot corrected LDP,0.20767298296580414,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,16,Optimization only,0.00023312340608247218,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,32,One-shot corrected LDP,0.2076729829657808,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,c,32,Optimization only,0.00023312340608247218,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9408,b,1,Central DP,0.5286333133624942,l2_error,0.8,5.3843464363939065e-06,
9408,b,1,Optimization only,0.41943379897883004,l2_error,0.8,5.3843464363939065e-06,
9408,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9408,b,2,Central DP,0.5146458016607877,l2_error,0.8,5.3843464363939065e-06,
