seed,n,p,s_star,epsilon,K,m,method,c_clip,c_lam,c_trunc,keep,radius,lam,clipped_scores,peak_norm,l2_error,support
5301,800000,100,4,1.0,14,57142,Full-Record LDP Lasso (ours),0.03,0.03,,,4.113651759146752,0.0563369149106939,407951,0.9484721808210198,0.2452062936335905,23
5301,800000,100,4,1.0,14,57142,Zhu et al. LDP-IHT,,2.0,0.1,8.0,5.20373865377643,,0,,0.7829046114961754,8
5301,800000,100,4,1.0,14,57142,Zhu et al. LDP-IHT,,4.0,0.1,16.0,6.796183503325033,,0,,1.3111076985440433,16
5301,800000,100,4,1.0,14,57142,Zhu et al. LDP-IHT,,8.0,0.1,32.0,9.048240606887852,,0,,1.1413827973782817,32
5301,800000,100,4,1.0,14,57142,Non-private proximal,,,,,,,0,,0.021339506107249284,4
5301,800000,100,4,1.0,14,57142,Zero estimator,,,,,,,0,,1.0,0
5301,800000,100,8,1.0,14,57142,Full-Record LDP Lasso (ours),0.03,0.03,,,4.113651759146752,0.0563369149106939,457126,0.734390140440704,0.3421252448937765,24
5301,800000,100,8,1.0,14,57142,Zhu et al. LDP-IHT,,2.0,0.1,16.0,6.796183503325033,,0,,1.1686969848336006,16
5301,800000,100,8,1.0,14,57142,Zhu et al. LDP-IHT,,4.0,0.1,32.0,9.048240606887852,,0,,1.2966897092716159,32
5301,800000,100,8,1.0,14,57142,Zhu et al. LDP-IHT,,8.0,0.1,64.0,12.23313030598506,,0,,1.3721794083535783,64
5301,800000,100,8,1.0,14,57142,Non-private proximal,,,,,,,0,,0.036920867105527645,8
5301,800000,100,8,1.0,14,57142,Zero estimator,,,,,,,0,,1.0,0
5301,1600000,100,4,1.0,15,106666,Full-Record LDP Lasso (ours),0.03,0.03,,,4.211181097668679,0.04232842955185862,770543,0.9028356252860814,0.2192390131656615,29
5301,1600000,100,4,1.0,15,106666,Zhu et al. LDP-IHT,,2.0,0.1,8.0,5.469105000526133,,0,,0.4102064443047873,8
5301,1600000,100,4,1.0,15,106666,Zhu et al. LDP-IHT,,4.0,0.1,16.0,7.142757093605005,,0,,0.644571996728623,16
5301,1600000,100,4,1.0,15,106666,Zhu et al. LDP-IHT,,8.0,0.1,32.0,9.509658582331264,,0,,1.2822267019241207,32
5301,1600000,100,4,1.0,15,106666,Non-private proximal,,,,,,,0,,0.01930652974701723,4
5301,1600000,100,4,1.0,15,106666,Zero estimator,,,,,,,0,,1.0,0
5301,1600000,100,8,1.0,15,106666,Full-Record LDP Lasso (ours),0.03,0.03,,,4.211181097668679,0.04232842955185862,803640,0.858920760158894,0.24918131884762681,32
5301,1600000,100,8,1.0,15,106666,Zhu et al. LDP-IHT,,2.0,0.1,16.0,7.142757093605005,,0,,0.9192254687082047,16
5301,1600000,100,8,1.0,15,106666,Zhu et al. LDP-IHT,,4.0,0.1,32.0,9.509658582331264,,0,,1.2883666740308424,32
5301,1600000,100,8,1.0,15,106666,Zhu et al. LDP-IHT,,8.0,0.1,64.0,12.85696276848901,,0,,1.330634124415627,64
5301,1600000,100,8,1.0,15,106666,Non-private proximal,,,,,,,0,,0.028006208622042464,8
5301,1600000,100,8,1.0,15,106666,Zero estimator,,,,,,,0,,1.0,0
5301,3200000,100,4,1.0,15,213333,Full-Record LDP Lasso (ours),0.03,0.03,,,4.3074783263913385,0.030598186837474516,1467162,1.007164947419415,0.12456007442761896,26
5301,3200000,100,4,1.0,15,213333,Zhu et al. LDP-IHT,,2.0,0.1,8.0,5.7344713472758375,,0,,0.5130672631906439,8
5301,3200000,100,4,1.0,15,213333,Zhu et al. LDP-IHT,,4.0,0.1,16.0,7.489330683884979,,0,,0.5771948269772241,16
5301,3200000,100,4,1.0,15,213333,Zhu et al. LDP-IHT,,8.0,0.1,32.0,9.97107655777468,,0,,0.822180570261727,32
5301,3200000,100,4,1.0,15,213333,Non-private proximal,,,,,,,0,,0.013721933964772207,4
5301,3200000,100,4,1.0,15,213333,Zero estimator,,,,,,,0,,1.0,0
5301,3200000,100,8,1.0,15,213333,Full-Record LDP Lasso (ours),0.03,0.03,,,4.3074783263913385,0.030598186837474516,1531090,0.8998093312706141,0.2181705727666316,29
5301,3200000,100,8,1.0,15,213333,Zhu et al. LDP-IHT,,2.0,0.1,16.0,7.489330683884979,,0,,0.614298538147341,16
5301,3200000,100,8,1.0,15,213333,Zhu et al. LDP-IHT,,4.0,0.1,32.0,9.97107655777468,,0,,1.005972773845712,32
5301,3200000,100,8,1.0,15,213333,Zhu et al. LDP-IHT,,8.0,0.1,64.0,13.480795230992964,,0,,1.2184881270359562,64
