task,figure,panel,n,method,metric,K,correlation,hat_s_ratio,population_condition_number,old_condition,revised_condition,revised_rhs,regularization,delta,gradient_noise_sd,mean,sd,sem,ci_low,ci_high,count,ci_level
figure2a,Figure 2,a,2500,hat_s/s_star = 1,l2_error,25.0,0.0,1.0,1.0,True,False,1.0,,,,0.003567921378894,0.0013020719639986,0.0002377247287256,0.0030817197170363,0.0040541230407518,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 1,l2_error,25.0,0.1,1.0,1.493364844170307,True,False,1.0,,,,0.0036672987431374,0.001377861595623,0.0002515619590142,0.0031527967677284,0.0041818007185463,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 1,l2_error,25.0,0.2,1.0,2.248482145636524,False,False,1.0,,,,0.0036506511140782,0.0016225725086873,0.0002962398547319,0.0030447725819993,0.004256529646157,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 1,l2_error,25.0,0.3,1.0,3.44494181467016,False,False,1.0,,,,0.0034794702909229,0.0015461136062082,0.0002822804328619,0.0029021419822396,0.0040567985996063,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 1,l2_error,25.0,0.5,1.0,8.971237489644583,False,False,1.0,,,,0.0520442362136113,0.0082918902604064,0.0015138851133273,0.0489479935050508,0.0551404789221718,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 1,l2_error,25.0,0.7,1.0,31.76677555867549,False,False,1.0,,,,0.6818630117966021,0.0191935423911977,0.0035042453753635,0.6746960252816022,0.689029998311602,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 2,l2_error,25.0,0.0,2.0,1.0,True,True,2.0,,,,0.0098613590817194,0.0009827132620732,0.0001794180737323,0.0094944079189876,0.0102283102444511,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 2,l2_error,25.0,0.1,2.0,1.493364844170307,True,True,2.0,,,,0.0099594586867226,0.000884094762632,0.0001614128814885,0.0096293322768801,0.010289585096565,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 2,l2_error,25.0,0.2,2.0,2.248482145636524,False,False,2.0,,,,0.0096897666541043,0.0012038234438554,0.000219787085151,0.0092402515925954,0.0101392817156132,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 2,l2_error,25.0,0.3,2.0,3.44494181467016,False,False,2.0,,,,0.0092056872093567,0.0011446858442835,0.0002089900860569,0.0087782544904411,0.0096331199282723,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 2,l2_error,25.0,0.5,2.0,8.971237489644583,False,False,2.0,,,,0.0497571619953606,0.0051989533649574,0.0009491946778015,0.0478158409041663,0.0516984830865549,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 2,l2_error,25.0,0.7,2.0,31.76677555867549,False,False,2.0,,,,0.4024935502661666,0.0112359932495843,0.002051402319591,0.3982979614341992,0.406689139098134,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 5,l2_error,25.0,0.0,5.0,1.0,True,True,3.0,,,,0.014631120599611,0.0008941753142257,0.0001632533299885,0.0142972300499415,0.0149650111492805,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 5,l2_error,25.0,0.1,5.0,1.493364844170307,True,True,3.0,,,,0.0147077726450983,0.0010224904113918,0.000186680354384,0.0143259684507083,0.0150895768394884,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 5,l2_error,25.0,0.2,5.0,2.248482145636524,False,True,3.0,,,,0.0147954774848937,0.0013503909207836,0.0002465465229211,0.0142912332280507,0.0152997217417368,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 5,l2_error,25.0,0.3,5.0,3.44494181467016,False,False,3.0,,,,0.0146884527486056,0.0009271123687921,0.0001692667859098,0.0143422633006343,0.0150346421965769,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 5,l2_error,25.0,0.5,5.0,8.971237489644583,False,False,3.0,,,,0.0535534624711919,0.0051958751045702,0.0009486326669175,0.0516132908213167,0.055493634121067,30.0,0.95
figure2a,Figure 2,a,2500,hat_s/s_star = 5,l2_error,25.0,0.7,5.0,31.76677555867549,False,False,3.0,,,,0.4046752103468151,0.0108013690502434,0.0019720511602521,0.4006419128580652,0.408708507835565,30.0,0.95
