seed,n,p,K,m,smoothness,test_size,epsilon,method,multiplier,tau,keep,radius,nmse,support
7701,200000,105,13,15384,0.34320442755385794,20000,,Non-private proximal,,,,,0.8646613545245736,25
7701,200000,105,13,15384,0.34320442755385794,20000,,Constant predictor,,,,,1.0689649853981245,0
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Full-Record LDP Lasso (ours),0.05,,,2.0,0.9560449500975234,60
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,10.0,2.0,1.0182808187139412,10
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.03,10.0,0.33657185612162327,1.048157035780351,10
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.07,10.0,0.8760647007281646,1.000702938148652,10
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.15,10.0,2.2661259434648238,1.0248885395255414,10
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.3,10.0,5.9904185440714155,1.070802068096836,10
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.6,10.0,17.813503716709906,1.0653903356482508,10
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,25.0,2.0,0.9688438454089712,25
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.03,25.0,0.3535198014256061,1.0242815926179605,25
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.07,25.0,0.9683368473831823,0.9773681425500862,25
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.15,25.0,2.689824576064394,1.0174400143765492,25
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.3,25.0,7.685213074469698,1.0277094869569634,25
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.6,25.0,24.592681838303033,1.0838439554215868,25
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,50.0,2.0,0.9546264826142935,50
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.03,50.0,0.37261971833664037,0.9696998427737255,50
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.07,50.0,1.0723252838988133,0.9912867022176691,50
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.15,50.0,3.167322498840251,1.0532643562816226,50
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.3,50.0,9.595204765573126,1.022852766818372,50
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.6,50.0,32.23264860271674,1.0640235788706232,50
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,100.0,2.0,0.9535272020964481,100
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.03,100.0,0.3996310798724243,0.9455670298143666,100
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.07,100.0,1.2193871411491926,1.009428201032274,100
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.15,100.0,3.842606537234849,1.0204813010451574,100
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.3,100.0,12.296340919151517,1.1257457561915571,100
7701,200000,105,13,15384,0.34320442755385794,20000,1.0,Zhu et al. LDP-IHT,,0.6,100.0,43.03719321703031,1.0526089353893573,100
7701,400000,105,13,30769,0.3429290624113774,20000,,Non-private proximal,,,,,0.8565470094135093,37
7701,400000,105,13,30769,0.3429290624113774,20000,,Constant predictor,,,,,1.0689543886889832,0
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Full-Record LDP Lasso (ours),0.05,,,2.0,0.9008955435432172,65
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,10.0,2.0,0.9077417843243635,10
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.03,10.0,0.33657185612162327,1.0004073492476004,10
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.07,10.0,0.8760647007281646,0.9316281114969681,10
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.15,10.0,2.2661259434648238,0.973735991060496,10
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.3,10.0,5.9904185440714155,1.0410717374373237,10
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.6,10.0,17.813503716709906,1.095751485195101,10
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,25.0,2.0,0.9165329194851946,25
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.03,25.0,0.3535198014256061,0.9946595879650801,25
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.07,25.0,0.9683368473831823,0.9942449542247089,25
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.15,25.0,2.689824576064394,1.0100980522190406,25
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.3,25.0,7.685213074469698,1.0180034287756716,25
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.6,25.0,24.592681838303033,1.096921222937219,25
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,50.0,2.0,0.9407473646718819,50
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.03,50.0,0.37261971833664037,0.9719889652304812,50
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.07,50.0,1.0723252838988133,0.9366305751750618,50
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.15,50.0,3.167322498840251,1.06147327223784,50
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.3,50.0,9.595204765573126,1.0313141862540622,50
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.6,50.0,32.23264860271674,1.0844002246491404,50
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,100.0,2.0,0.9072285522772686,100
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.03,100.0,0.3996310798724243,0.9362315746668697,100
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.07,100.0,1.2193871411491926,0.9729934141195111,100
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.15,100.0,3.842606537234849,1.0012605253976243,100
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.3,100.0,12.296340919151517,1.0633806936317733,100
7701,400000,105,13,30769,0.3429290624113774,20000,1.0,Zhu et al. LDP-IHT,,0.6,100.0,43.03719321703031,1.0390397665332385,100
7701,800000,105,14,57142,0.34310261708222956,20000,,Non-private proximal,,,,,0.851726980576308,42
7701,800000,105,14,57142,0.34310261708222956,20000,,Constant predictor,,,,,1.0689476989432014,0
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Full-Record LDP Lasso (ours),0.05,,,2.0,0.8855895923616979,70
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,10.0,2.0,0.9068869000295773,10
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.03,10.0,0.33657185612162327,0.9645824619110023,10
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.07,10.0,0.8760647007281646,0.9381462227902414,10
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.15,10.0,2.2661259434648238,0.9206150266662335,10
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.3,10.0,5.9904185440714155,1.0117220986058924,10
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.6,10.0,17.813503716709906,1.0162354431335854,10
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,25.0,2.0,0.9095405920502473,25
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.03,25.0,0.3535198014256061,0.95868841813137,25
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.07,25.0,0.9683368473831823,0.9540156559675991,25
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.15,25.0,2.689824576064394,0.958053990446227,25
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.3,25.0,7.685213074469698,1.0130294894900795,25
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.6,25.0,24.592681838303033,1.0311797790080373,25
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,50.0,2.0,0.8968835589302575,50
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.03,50.0,0.37261971833664037,0.9485959035233915,50
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.07,50.0,1.0723252838988133,0.9312504558414876,50
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.15,50.0,3.167322498840251,0.9876239849785468,50
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.3,50.0,9.595204765573126,1.0366558159252244,50
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.6,50.0,32.23264860271674,1.0525215093331295,50
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,100.0,2.0,0.8945717066765135,100
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.03,100.0,0.3996310798724243,0.9450006156538218,100
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.07,100.0,1.2193871411491926,0.9333785145592587,100
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.15,100.0,3.842606537234849,0.9988135963210667,100
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.3,100.0,12.296340919151517,1.0172450651634328,100
7701,800000,105,14,57142,0.34310261708222956,20000,1.0,Zhu et al. LDP-IHT,,0.6,100.0,43.03719321703031,1.0343893276756568,100
7701,1600000,105,15,106666,0.3430465547689673,20000,,Non-private proximal,,,,,0.8490146810121814,52
7701,1600000,105,15,106666,0.3430465547689673,20000,,Constant predictor,,,,,1.06894589125204,0
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Full-Record LDP Lasso (ours),0.05,,,2.0,0.8793608204737862,69
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,10.0,2.0,0.8941138018717523,10
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.03,10.0,0.33657185612162327,0.9686060471892619,10
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.07,10.0,0.8760647007281646,0.9600060388592655,10
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.15,10.0,2.2661259434648238,0.9526845064824615,10
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.3,10.0,5.9904185440714155,1.0232919903463897,10
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.6,10.0,17.813503716709906,1.032855381735793,10
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,25.0,2.0,0.8718424452155091,25
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.03,25.0,0.3535198014256061,0.9619849678328699,25
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.07,25.0,0.9683368473831823,0.921785330020204,25
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.15,25.0,2.689824576064394,0.9301353811275974,25
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.3,25.0,7.685213074469698,0.9735340137594606,25
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.6,25.0,24.592681838303033,1.175801878964361,25
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,50.0,2.0,0.8783917967765634,50
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.03,50.0,0.37261971833664037,0.9494211016107823,50
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.07,50.0,1.0723252838988133,0.929839453733662,50
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.15,50.0,3.167322498840251,0.9404172547052959,50
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.3,50.0,9.595204765573126,1.0326193125227674,50
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.6,50.0,32.23264860271674,1.119895582389239,50
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,100.0,2.0,0.8828180182871695,100
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.03,100.0,0.3996310798724243,0.9500276207809191,100
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.07,100.0,1.2193871411491926,0.9171054362498969,100
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.15,100.0,3.842606537234849,0.9524319409766996,100
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.3,100.0,12.296340919151517,1.007187024511533,100
7701,1600000,105,15,106666,0.3430465547689673,20000,1.0,Zhu et al. LDP-IHT,,0.6,100.0,43.03719321703031,1.0416460553045956,100
7702,200000,105,13,15384,0.3427789553392808,20000,,Non-private proximal,,,,,0.8676930604328567,25
7702,200000,105,13,15384,0.3427789553392808,20000,,Constant predictor,,,,,1.0670751053421268,0
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Full-Record LDP Lasso (ours),0.05,,,2.0,0.9385738376963574,63
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,10.0,2.0,0.9907965861409265,10
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Zhu et al. LDP-IHT,,0.03,10.0,0.33657185612162327,0.9992774859840432,10
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Zhu et al. LDP-IHT,,0.07,10.0,0.8760647007281646,0.9745935194814914,10
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Zhu et al. LDP-IHT,,0.15,10.0,2.2661259434648238,0.9715342899004913,10
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Zhu et al. LDP-IHT,,0.3,10.0,5.9904185440714155,1.0527343318578006,10
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Zhu et al. LDP-IHT,,0.6,10.0,17.813503716709906,1.0604052054681132,10
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,"Zhu et al. LDP-IHT, matched radius",,,25.0,2.0,0.9392208438016171,25
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Zhu et al. LDP-IHT,,0.03,25.0,0.3535198014256061,0.9700845752553481,25
7702,200000,105,13,15384,0.3427789553392808,20000,1.0,Zhu et al. LDP-IHT,,0.07,25.0,0.9683368473831823,0.979518460273845,25
