seed,n,p,s_star,epsilon,delta,setting,noise_scale,coef,smoothness,sigma,label_bound,clip_rate,published_sigma,method,multiplier,l2_error,support
6301,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.5697150230407715,7.842271706420105,1.615,0.258,24.102237481813713,Non-private,,0.12173597514629364,15
6301,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.5697150230407715,7.842271706420105,1.615,0.258,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.006701111793518,5
6301,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.5697150230407715,7.842271706420105,1.615,0.258,24.102237481813713,Zero estimator,,0.9999999403953552,0
6301,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.5697150230407715,7.842271706420105,1.615,0.258,24.102237481813713,Label-LDP Lasso (ours),0.75,0.7916308045387268,6
6301,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.616467475891113,7.842271706420105,1.615,0.2545,24.102237481813713,Non-private,,0.16795134544372559,11
6301,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.616467475891113,7.842271706420105,1.615,0.2545,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.0158209800720215,5
6301,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.616467475891113,7.842271706420105,1.615,0.2545,24.102237481813713,Zero estimator,,0.9999999403953552,0
6301,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.616467475891113,7.842271706420105,1.615,0.2545,24.102237481813713,Label-LDP Lasso (ours),0.75,0.7968088984489441,11
6301,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.612977981567383,7.842271706420105,1.615,0.032,24.102237481813713,Non-private,,0.1520131379365921,5
6301,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.612977981567383,7.842271706420105,1.615,0.032,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.002469778060913,5
6301,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.612977981567383,7.842271706420105,1.615,0.032,24.102237481813713,Zero estimator,,0.9999999403953552,0
6301,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.612977981567383,7.842271706420105,1.615,0.032,24.102237481813713,Label-LDP Lasso (ours),0.75,0.8125569820404053,8
6301,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.688719749450684,8.597906550714795,1.615,0.257,25.52313319351188,Non-private,,0.11602820456027985,17
6301,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.688719749450684,8.597906550714795,1.615,0.257,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.9988318085670471,5
6301,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.688719749450684,8.597906550714795,1.615,0.257,25.52313319351188,Zero estimator,,0.9999999403953552,0
6301,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.688719749450684,8.597906550714795,1.615,0.257,25.52313319351188,Label-LDP Lasso (ours),0.75,0.7961604595184326,16
6301,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.652130603790283,8.597906550714795,1.615,0.259,25.52313319351188,Non-private,,0.13026560842990875,17
6301,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.652130603790283,8.597906550714795,1.615,0.259,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.8743104934692383,5
6301,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.652130603790283,8.597906550714795,1.615,0.259,25.52313319351188,Zero estimator,,0.9999999403953552,0
6301,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.652130603790283,8.597906550714795,1.615,0.259,25.52313319351188,Label-LDP Lasso (ours),0.75,0.5876332521438599,9
6301,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.66502571105957,8.597906550714795,1.615,0.032,25.52313319351188,Non-private,,0.1115315854549408,5
6301,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.66502571105957,8.597906550714795,1.615,0.032,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.8670077323913574,5
6301,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.66502571105957,8.597906550714795,1.615,0.032,25.52313319351188,Zero estimator,,0.9999999403953552,0
6301,4000,8000,5,0.95,0.0010907720713776194,rademacher,0.05,decay,5.66502571105957,8.597906550714795,1.615,0.032,25.52313319351188,Label-LDP Lasso (ours),0.75,0.617588460445404,15
6301,8000,16000,5,0.95,0.0005088631644211301,gaussian,1.0,decay,5.660437107086182,9.32103373539826,1.615,0.24825,26.868993364057204,Non-private,,0.08736884593963623,23
